specId,setName,collectibleYear,collectibleSubject,auctionItemId,auctionHouse,imageUrl,listingType,dateOfSale,grade,salePrice,certNumber
3390827,Topps,2020,Ryan Mcbroom,-1170314832587976541,eBay,https://d1w8cc2yygc27j.cloudfront.net/-1170314832587976541/2697973637501909162.jpg,Auction,2021-11-22T04:10:49,10,2.25,51663638
3479779,Topps,2020,Ryan Mcbroom,6206792764940959724,eBay,https://d1w8cc2yygc27j.cloudfront.net/6206792764940959724/4319902025704416842.jpg,Auction,2023-07-17T00:06:18,9,1,56631713
3479779,Topps,2020,Ryan Mcbroom,-7080985526451839836,eBay,https://d1w8cc2yygc27j.cloudfront.net/-7080985526451839836/-7612628346209663773.jpg,Auction,2021-10-04T02:30:47,10,8.5,51433923
3484173,Topps,2020,Ryan Mcbroom,3285202160923986180,eBay,https://d1w8cc2yygc27j.cloudfront.net/3285202160923986180/6050612773324406814.jpg,Best Offer,2020-12-28T01:50:54,9,30,49913096
3484949,Topps,2020,Ryan Mcbroom,-8826940726904882686,eBay,https://d1w8cc2yygc27j.cloudfront.net/-8826940726904882686/-4580246973828326894.jpg,Auction,2024-08-09T19:55:44,9,1.25,56627411
3484949,Topps,2020,Ryan Mcbroom,-6583865282711670558,eBay,https://d1w8cc2yygc27j.cloudfront.net/-6583865282711670558/-3341417680081106987.jpg,Auction,2023-07-17T00:06:18,9,1,56627411
3485840,Topps,2020,Ryan Mcbroom,8937450822152594459,eBay,https://d1w8cc2yygc27j.cloudfront.net/8937450822152594459/7705446019767602759.jpg,Auction,2023-07-17T00:06:18,10,1,56627410
3405586,Topps,2020,Chris Sale,3109337865156369975,eBay,https://d1w8cc2yygc27j.cloudfront.net/3109337865156369975/-8612636237073127904.jpg,Auction,2021-09-25T14:15:06,9,7.51,50407959
3405586,Topps,2020,Chris Sale,-3066062773196005787,eBay,https://d1w8cc2yygc27j.cloudfront.net/-3066062773196005787/6705714203206865570.jpg,Best Offer,2021-04-01T14:24:09,10,30,50166272
3484950,Topps,2020,Chris Sale,-7298630210388647130,eBay,https://d1w8cc2yygc27j.cloudfront.net/-7298630210388647130/-6545343831160789040.jpg,Auction,2021-08-23T22:03:43,10,18.5,48948915
3484950,Topps,2020,Chris Sale,-7234927824649520456,eBay,https://d1w8cc2yygc27j.cloudfront.net/-7234927824649520456/8528055459021521963.jpg,Auction,2021-08-11T20:37:13,10,10.6,48948915
3633711,Topps,2020,Chris Sale,-5905287743994556873,eBay,https://d1w8cc2yygc27j.cloudfront.net/-5905287743994556873/-1148592280426347186.jpg,Auction,2021-08-08T21:50:27,9,6.5,49830916
3405587,Topps,2020,Jose Abreu,-2840158641199303660,eBay,https://d1w8cc2yygc27j.cloudfront.net/-2840158641199303660/-4691510567964344945.jpg,Auction,2022-01-30T23:20:24,10,36.55,51161838
3405587,Topps,2020,Jose Abreu,8631736722558339054,eBay,https://d1w8cc2yygc27j.cloudfront.net/8631736722558339054/5916905834887617127.jpg,Auction,2021-12-30T04:06:44,9,3.76,55907907
3405587,Topps,2020,Jose Abreu,-6684210843635022851,eBay,https://d1w8cc2yygc27j.cloudfront.net/-6684210843635022851/7487353717041854368.jpg,Auction,2021-11-19T00:18:47,9,9.49,54274241
3479783,Topps,2020,Jose Abreu,-7456626719031744735,eBay,https://d1w8cc2yygc27j.cloudfront.net/-7456626719031744735/-3807005514370447544.jpg,Auction,2021-11-22T04:10:48,10,15.5,51658894
3479783,Topps,2020,Jose Abreu,-7536548168843828920,eBay,https://d1w8cc2yygc27j.cloudfront.net/-7536548168843828920/7046784707841656017.jpg,Auction,2021-11-14T21:29:53,10,20.5,51658893
3405588,Topps,2020,Rangel Ravelo,-7118787414765301183,eBay,https://d1w8cc2yygc27j.cloudfront.net/-7118787414765301183/-1710277128751741360.jpg,Auction,2023-01-15T01:00:01,8,0.99,49956838
3405588,Topps,2020,Rangel Ravelo,4496658051609874221,eBay,https://d1w8cc2yygc27j.cloudfront.net/4496658051609874221/616670244195948175.jpg,Auction,2021-07-26T01:37:37,8,10.15,50166271
3633715,Topps,2020,Rangel Ravelo,-1542032808775987366,eBay,https://d1w8cc2yygc27j.cloudfront.net/-1542032808775987366/6998555147872736305.jpg,Auction,2023-12-15T03:58:43,9,2.02,53170289
3880261,Topps,2020,Jose Rodriguez,2727477667627023308,eBay,https://d1w8cc2yygc27j.cloudfront.net/2727477667627023308/7085049337346517007.jpg,Auction,2021-08-01T00:23:02,9,6.05,49906152
3405589,Topps,2020,Edwin Rios,-3644921797398797813,eBay,https://d1w8cc2yygc27j.cloudfront.net/-3644921797398797813/8269682729751881249.jpg,Auction,2021-11-15T02:10:33,9,6.99,53007511
3405589,Topps,2020,Edwin Rios,8902585869963100862,eBay,https://d1w8cc2yygc27j.cloudfront.net/8902585869963100862/6251606349768479194.jpg,Auction,2021-11-14T21:29:52,10,13.49,51661486
3405589,Topps,2020,Edwin Rios,-1489589752189852514,eBay,https://d1w8cc2yygc27j.cloudfront.net/-1489589752189852514/-5828258569901090272.jpg,Auction,2021-09-08T23:24:57,9,4.95,51841405
3479790,Topps,2020,Edwin Rios,2652615460163010053,eBay,https://d1w8cc2yygc27j.cloudfront.net/2652615460163010053/-2659583635130375357.jpg,Auction,2024-12-08T01:33:00,9,0.99,52289655
